Caption	CommandLine	CreationClassName	CreationDate	CSCreationClassName	CSName	Description	ExecutablePath	ExecutionState	Handle	HandleCount	InstallDate	KernelModeTime	MaximumWorkingSetSize	MinimumWorkingSetSize	Name	OSCreationClassName	OSName	OtherOperationCount	OtherTransferCount	PageFaults	PageFileUsage	ParentProcessId	PeakPageFileUsage	PeakVirtualSize	PeakWorkingSetSize	Priority	PrivatePageCount	ProcessId	QuotaNonPagedPoolUsage	QuotaPagedPoolUsage	QuotaPeakNonPagedPoolUsage	QuotaPeakPagedPoolUsage	ReadOperationCount	ReadTransferCount	SessionId	Status	TerminationDate	ThreadCount	UserModeTime	VirtualSize	WindowsVersion	WorkingSetSize	WriteOperationCount	WriteTransferCount																																				
WmiPrvSE.exe	Win32_Process	20201030093147.674349-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WmiPrvSE.exe	7472	470	1.32842E+11	WmiPrvSE.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	106921	2081304	10539154	21708	1152	29332	2.20353E+12	51540	8	22228992	7472	24	213	33	291	8151	104807483	0	10	52409218750	2.2035E+12	10.0.19041	33132544	5031	482294																																									
WmiPrvSE.exe	Win32_Process	20201030093147.693546-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WmiPrvSE.exe	7552	227	65625000	WmiPrvSE.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2384	267049	42284	7080	1152	15884	2.20345E+12	24112	8	7249920	7552	15	144	24	160	0	0	0	5	28750000	2.20344E+12	10.0.19041	11845632	0	0																																									
dllhost.exe	Win32_Process	20201030093148.042057-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	dllhost.exe	7748	203	937500	dllhost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	1408	32612	7156	3408	1152	4156	2.20356E+12	11276	8	3489792	7748	17	109	28	110	34	2736128	0	4	937500	2.20355E+12	10.0.19041	8683520	98	1388544																																									
svchost.exe	Win32_Process	20201030093148.525308-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	7872	267	42343750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	68604	1280068	18395	2740	1012	3012	2.20342E+12	12380	8	2805760	7872	13	122	15	130	109	446464	0	2	11093750	2.20341E+12	10.0.19041	10366976	45	372736																																									
NisSrv.exe	Win32_Process	20201030093148.725810-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	NisSrv.exe	8168	181	212500000	NisSrv.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	444828	309964594	388404	12604	1012	28476	2.20353E+12	22976	8	12906496	8168	17	90	43	91	0	0	0	10	784687500	2.20344E+12	10.0.19041	14364672	0	0																																									
svchost.exe	Win32_Process	20201030093152.414887-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	8820	138	625000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	77	1570	3423	1716	1012	1872	2.2034E+12	7292	8	1757184	8820	10	72	11	72	0	0	0	2	468750	2.20339E+12	10.0.19041	4935680	0	0																																									
svchost.exe	Win32_Process	20201030093152.414954-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	8828	192	9062500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	6943	204804	16035	2028	1012	2656	2.20341E+12	8660	8	2076672	8828	11	86	13	87	0	0	0	3	9531250	2.2034E+12	10.0.19041	6578176	0	0																																									
svchost.exe	Win32_Process	20201030093152.449210-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	8904	266	14843750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	17245	2049858	24304	3012	1012	4196	2.20341E+12	10272	8	3084288	8904	16	94	26	94	1	116	0	5	12187500	2.2034E+12	10.0.19041	6729728	1	160																																									
RtkAudUService64.exe	Win32_Process	20201030093159.576870-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	RtkAudUService64.exe	8476	233	2656250	RtkAudUService64.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	339	9271	4072	1880	5128	2008	4411854848	8508	8	1925120	8476	11	149	12	154	0	0	1	3	4218750	4407459840	10.0.19041	6328320	0	0																																									
WTabletServiceISD.exe	WTabletServiceISD.exe	/startuser	Win32_Process	20201030093159.580057-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WTabletServiceISD.exe	C:\WINDOWS\System32\DriverStore\FileRepository\wtabletserviceisd.inf_amd64_287a1226ec474ae7\WTabletServiceISD.exe	8516	1723	205781250	1380	200	WTabletServiceISD.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	35094	712996	23416	19584	5400	20168	4495663104	36484	10	20054016	8516	25	283	27	289	4121	13680	1	12	34218750	4489269248	10.0.19041	16711680	0	0																																				
tposd.exe	C:\WINDOWS\System32\DriverStore\FileRepository\FNB55C~1.INF\driver\TPOSD.EXE	/UEFI\\.\pipe\{C6A9690C-33AE-4a55-8B65-9498CC0A7B34}.OnScreenDisplay	Win32_Process	20201030093159.582687-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	tposd.exe	C:\WINDOWS\System32\DriverStore\FileRepository\FNB55C~1.INF\driver\TPOSD.EXE	8564	158	10000000	1380	200	tposd.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	312	3560	5012	1720	5580	2320	4419457024	8072	8	1761280	8564	10	156	11	162	14	52	1	6	1562500	4412153856	10.0.19041	6365184	0	0																																				
shtctky.exe	Win32_Process	20201030093159.592211-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	shtctky.exe	8680	237	40781250	shtctky.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	93842	236334	14399	2880	5580	3016	4427616256	10936	8	2949120	8680	13	185	14	191	796	510436	1	5	11562500	4422352896	10.0.19041	7204864	0	0																																									
sihost.exe	sihost.exe	Win32_Process	20201030093159.681211-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	sihost.exe	C:\WINDOWS\system32\sihost.exe	5796	980	309375000	1380	200	sihost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	69228	4846558	45256	20028	2200	23556	2.20354E+12	51932	8	20508672	5796	31	335	34	360	1538	6257750	1	11	273593750	2.20353E+12	10.0.19041	41537536	2	176																																					
svchost.exe	C:\WINDOWS\system32\svchost.exe	#NAME?	UnistackSvcGroup	#NAME?	CDPUserSvc	Win32_Process	20201030093159.704408-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	C:\WINDOWS\system32\svchost.exe	8652	502	711093750	1380	200	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	109321	6007905	341222	13264	1012	15200	2.20349E+12	46256	8	13582336	8652	22	229	28	239	3496181	14324838219	1	15	1141562500	2.20348E+12	10.0.19041	42041344	154729	336832846																																	
svchost.exe	C:\WINDOWS\system32\svchost.exe	#NAME?	BthAppGroup	#NAME?	#NAME?	BluetoothUserService	Win32_Process	20201030093159.704414-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	C:\WINDOWS\system32\svchost.exe	7924	157	41562500	1380	200	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	505	269966	5341	1836	1012	2212	2.20342E+12	8436	8	1880064	7924	10	109	13	112	0	0	1	2	937500	2.20341E+12	10.0.19041	6221824	0	0																																
svchost.exe	C:\WINDOWS\system32\svchost.exe	#NAME?	UnistackSvcGroup	#NAME?	WpnUserService	Win32_Process	20201030093159.729942-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	C:\WINDOWS\system32\svchost.exe	8320	726	148906250	1380	200	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	55675	5292629	124143	11836	1012	13640	2.20367E+12	54028	8	12120064	8320	27	359	42	592	1170	4742959	1	6	508750000	2.20353E+12	10.0.19041	52670464	18565	39357398																																	
igfxEM.exe	C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_cb5b3ac4d6a4f65a\igfxEM.exe	Win32_Process	20201030093159.733574-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	igfxEM.exe	C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_cb5b3ac4d6a4f65a\igfxEM.exe	2088	1622	139218750	1380	200	igfxEM.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	105883	5434441	26597	10832	3408	11996	2.20354E+12	26756	8	11091968	2088	29	330	32	335	267504	28768796	1	41	105312500	2.20353E+12	10.0.19041	23179264	69	51927																																					
taskhostw.exe	taskhostw.exe	{222A245B-E637-4AE9-A93F-A59CA119A75E}	Win32_Process	20201030093159.791405-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	taskhostw.exe	C:\WINDOWS\system32\taskhostw.exe	9300	324	90781250	1380	200	taskhostw.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	52887	470838	41321	15156	1856	15492	2.2036E+12	22120	8	15519744	9300	57	205	61	211	96	4918653	1	7	62343750	2.2036E+12	10.0.19041	22171648	4565	105324728																																				
svchost.exe	Win32_Process	20201030093159.840103-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	9396	410	207500000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	216224	9004810	388145	4632	1012	6272	2.20345E+12	21628	8	4743168	9396	14	161	17	181	14	142501	0	3	544531250	2.20344E+12	10.0.19041	20516864	0	0																																									
SynTPEnh.exe	C:\WINDOWS\System32\SynTPEnh.exe	Win32_Process	20201030093200.281754-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	SynTPEnh.exe	C:\WINDOWS\System32\SynTPEnh.exe	9680	786	6324375000	1380	200	SynTPEnh.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2235788	20105415	3769835	11732	2796	12400	4478337024	31680	10	12013568	9680	23	342	24	352	21	531296	1	13	8008281250	4470988800	10.0.19041	24928256	2	10292																																					
svchost.exe	Win32_Process	20201030093201.367857-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	10016	456	60156250	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	104125	3921697	18378	6108	1012	6832	2.20345E+12	20952	8	6254592	10016	25	171	30	172	55	22583	0	11	60156250	2.20344E+12	10.0.19041	17231872	48	172078																																									
svchost.exe	C:\WINDOWS\system32\svchost.exe	#NAME?	ClipboardSvcGroup	#NAME?	#NAME?	cbdhsvc	Win32_Process	20201030093201.627345-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	C:\WINDOWS\system32\svchost.exe	10124	323	36250000	1380	200	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	3274	86930	40595	4096	1012	4568	2.2035E+12	32164	8	4194304	10124	17	242	18	246	11	12514	1	7	87968750	2.20349E+12	10.0.19041	32518144	0	0																																
SynTPHelper.exe	Win32_Process	20201030093202.896125-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	SynTPHelper.exe	10508	217	1250000	SynTPHelper.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	256	3760	2542	2188	9920	2292	4388327424	6948	10	2240512	10508	8	131	9	131	3	10280	1	2	312500	4384133120	10.0.19041	4083712	0	0																																									
svchost.exe	Win32_Process	20201030093202.941629-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	10528	495	58593750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	66214	3124044	56484	5372	1012	15668	2.20369E+12	21148	8	5500928	10528	14	113	18	599	8	461708	0	8	22968750	2.20344E+12	10.0.19041	9584640	4	144962																																									
svchost.exe	Win32_Process	20201030093207.045537-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	10596	306	48125000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	5447	4568	75525	3352	1012	3552	2.20342E+12	13472	8	3432448	10596	14	129	15	131	4	1032	0	9	46093750	2.20342E+12	10.0.19041	11530240	0	0																																									
ApplicationFrameHost.exe	C:\WINDOWS\system32\ApplicationFrameHost.exe	#NAME?	Win32_Process	20201030093207.829824-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	ApplicationFrameHost.exe	C:\WINDOWS\system32\ApplicationFrameHost.exe	10788	825	62031250	1380	200	ApplicationFrameHost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	717	16514	117303	62840	1152	65196	2.20366E+12	57932	8	64348160	10788	45	537	48	558	90	85733	1	9	29375000	2.20365E+12	10.0.19041	50167808	0	0																																				
Microsoft.Notes.exe	C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.7.142.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe	#NAME?	Win32_Process	20201030093207.847722-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	Microsoft.Notes.exe	C:\Program	Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.7.142.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe	11232	1078	160625000	1380	200	Microsoft.Notes.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	80377	2882634	124776	39788	1152	40408	5270388736	108772	8	40742912	11232	61	923	64	968	433	1384508	1	20	252031250	5263028224	10.0.19041	98050048	312	601259																																			
RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	#NAME?	Win32_Process	20201030093208.885122-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	10380	290	7968750	1380	200	RuntimeBroker.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2224	77008	20641	3668	1152	4752	2.20348E+12	23884	8	3756032	10380	14	220	19	254	6	9728	1	3	8437500	2.20346E+12	10.0.19041	18100224	2	4636																																				
RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	#NAME?	Win32_Process	20201030093210.003468-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	10292	360	150625000	1380	200	RuntimeBroker.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	122610	1255530	145433	7520	1152	11556	2.20363E+12	35056	8	7700480	10292	19	236	29	533	171	1260570	1	6	197812500	2.20348E+12	10.0.19041	27189248	1	160																																				
RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	#NAME?	Win32_Process	20201030093211.263493-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	11548	758	133593750	1380	200	RuntimeBroker.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	57621	3499040	110565	17724	1152	22268	2.20376E+12	52408	8	18149376	11548	35	426	51	721	260144	33323692	1	19	168281250	2.2036E+12	10.0.19041	47149056	4	568																																				
ctfmon.exe	Win32_Process	20201030093212.861414-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	ctfmon.exe	12252	871	1041250000	ctfmon.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	118873	934150	40489	55448	2096	55448	2.20354E+12	29644	13	56778752	12252	19	239	20	239	262	32879	1	14	430468750	2.20354E+12	10.0.19041	28045312	0	0																																									
SettingSyncHost.exe	C:\WINDOWS\system32\SettingSyncHost.exe	#NAME?	Win32_Process	20201030093212.870432-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	SettingSyncHost.exe	C:\WINDOWS\system32\SettingSyncHost.exe	12276	627	276562500	1380	200	SettingSyncHost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	131199	5301302	113409	12192	1152	18752	2.20371E+12	49660	6	12484608	12276	26	286	56	395	1034	29285466	1	10	157656250	2.20352E+12	10.0.19041	6692864	1073	10388558																																				
YourPhone.exe	C:\Program Files\WindowsApps\Microsoft.YourPhone_1.20101.84.0_x64__8wekyb3d8bbwe\YourPhone.exe	#NAME?	Win32_Process	20201030093212.912184-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	YourPhone.exe	C:\Program	Files\WindowsApps\Microsoft.YourPhone_1.20101.84.0_x64__8wekyb3d8bbwe\YourPhone.exe	10472	1104	27343750	1380	200	YourPhone.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	12282	425566	229064	29720	1152	30840	5251776512	64564	8	30433280	10472	50	777	55	787	175	836915	1	16	23750000	5238304768	10.0.19041	8695808	37	14033																																			
TabTip.exe	Win32_Process	20201030093212.944412-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	TabTip.exe	10364	324	228593750	TabTip.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	290	6642	9413	4224	2096	4312	2.20348E+12	15352	13	4325376	10364	17	239	17	242	1	10215	1	8	70000000	2.20348E+12	10.0.19041	14172160	0	0																																									
RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	#NAME?	Win32_Process	20201030093214.333721-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	12612	389	264375000	1380	200	RuntimeBroker.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	61943	854082	123893	9452	1152	14396	2.20368E+12	36844	8	9678848	12612	22	253	32	522	71138	31710143	1	5	250312500	2.20354E+12	10.0.19041	25120768	0	0																																				
dllhost.exe	C:\WINDOWS\system32\DllHost.exe	/Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}	Win32_Process	20201030093215.746486-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	dllhost.exe	C:\WINDOWS\system32\DllHost.exe	13068	360	14531250	1380	200	dllhost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	7476	179958	22514	7440	1152	8116	2.20358E+12	15296	8	7618560	13068	27	156	34	157	168	9403704	1	8	27968750	2.20358E+12	10.0.19041	14483456	969	25825280																																				
RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	#NAME?	Win32_Process	20201030093215.970710-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe	13144	461	63593750	1380	200	RuntimeBroker.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	72822	2473959	69341	5172	1152	7068	2.20353E+12	34332	8	5296128	13144	20	220	29	332	64	71102	1	8	28437500	2.20347E+12	10.0.19041	20316160	8	19647																																				
SecurityHealthSystray.exe	C:\Windows\System32\SecurityHealthSystray.exe	Win32_Process	20201030093222.992703-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	SecurityHealthSystray.exe	C:\Windows\System32\SecurityHealthSystray.exe	5800	161	3906250	1380	200	SecurityHealthSystray.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	99	3026	5369	1908	9664	2100	2.20343E+12	9020	8	1953792	5800	10	144	11	156	1	4787	1	1	2500000	2.20343E+12	10.0.19041	7168000	0	0																																					
SecurityHealthService.exe	Win32_Process	20201030093223.019557-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	SecurityHealthService.exe	6404	390	14843750	SecurityHealthService.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	437	10070	11303	4000	1012	4692	2.20343E+12	13344	8	4096000	6404	16	145	17	158	0	0	0	6	26875000	2.20343E+12	10.0.19041	11522048	1	4096																																									
OneDrive.exe	C:\Users\kiran\AppData\Local\Microsoft\OneDrive\OneDrive.exe	/background	Win32_Process	20201030093223.895016-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	OneDrive.exe	C:\Users\kiran\AppData\Local\Microsoft\OneDrive\OneDrive.exe	11992	1013	277343750	1380	200	OneDrive.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	255873	15816657	537963	66752	9664	93932	475197440	109948	8	68354048	11992	61	518	367	558	5292	14926679	1	32	227187500	436170752	10.0.19041	67698688	56887	26556643																																				
WebCompanion.exe	C:\Program Files (x86)\Lavasoft\Web Companion\Application\WebCompanion.exe	#NAME?	Win32_Process	20201030093226.986534-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WebCompanion.exe	C:\Program	Files	(x86)\Lavasoft\Web	Companion\Application\WebCompanion.exe	8912	866	18125000	1380	200	WebCompanion.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	10724	470711	64227	76964	9664	92692	615747584	109140	8	78811136	8912	70	851	74	881	3264	12863670	1	18	32812500	589090816	10.0.19041	74899456	400	48932																																	
RtkAudUService64.exe	C:\Windows\System32\RtkAudUService64.exe	#NAME?	Win32_Process	20201030093230.272750-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	RtkAudUService64.exe	C:\Windows\System32\RtkAudUService64.exe	13420	285	15000000	1380	200	RtkAudUService64.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	389	15327	16524	2512	1856	2636	4424335360	9924	6	2572288	13420	12	167	13	171	0	0	1	7	7343750	4416995328	10.0.19041	2322432	0	0																																				
unsecapp.exe	C:\WINDOWS\system32\wbem\unsecapp.exe	#NAME?	Win32_Process	20201030093233.005012-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	unsecapp.exe	C:\WINDOWS\system32\wbem\unsecapp.exe	14052	111	156250	1380	200	unsecapp.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	50	964	3874	1568	1152	1688	2.20341E+12	7400	8	1605632	14052	8	101	9	104	1	4123	1	1	156250	2.20341E+12	10.0.19041	6189056	0	0																																				
svchost.exe	Win32_Process	20201030093234.422021-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	13428	284	9687500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2409	238621	25921	3984	1012	5212	2.20344E+12	22648	8	4079616	13428	15	130	22	153	64	712544	0	5	14843750	2.20342E+12	10.0.19041	17084416	3	43774																																									
Skype.exe	C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.65.78.0_x86__kzf8qxf38zg5c\Skype\Skype.exe	Win32_Process	20201030093239.118800-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	Skype.exe	C:\Program	Files\WindowsApps\Microsoft.SkypeApp_15.65.78.0_x86__kzf8qxf38zg5c\Skype\Skype.exe	14428	954	402187500	1380	200	Skype.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	91865	4114695	217961	109680	9664	130696	606216192	125408	8	112312320	14428	60	661	72	709	285462	171924412	1	35	2166718750	562630656	10.0.19041	78688256	301500	84206600																																				
Skype.exe	C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.65.78.0_x86__kzf8qxf38zg5c\Skype\Skype.exe	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	--url=appcenter://generic?aid=a8902fe7-ef45-455c-8513-5e56d48e36fd&iid=05b1ae5b-53de-4fc6-aae7-9dcad5019270&uid=9c6c08bd-75c0-40f1-1c8a-c39d0dfc2fc1	"--initial-client-data=0x6dc,0x750,0x754,0x6cc,0x758,0x5622c98,0x5622ca8,0x5622cb4"	Win32_Process	20201030093240.160218-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	Skype.exe	C:\Program	Files\WindowsApps\Microsoft.SkypeApp_15.65.78.0_x86__kzf8qxf38zg5c\Skype\Skype.exe	14516	239	2500000	1380	200	Skype.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	1393	12010	9995	12080	14428	12296	273960960	26528	8	12369920	14516	18	378	19	379	3	112	1	6	625000	270028800	10.0.19041	26640384	2	24																												
Skype.exe	C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.65.78.0_x86__kzf8qxf38zg5c\Skype\Skype.exe	#NAME?	"--field-trial-handle=2364,11082549326047063239,2913200654511623452,131072"	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	"--ignored="""	#NAME?	 /prefetch:2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Win32_Process      20201030093240.365057-240  Win32_ComputerSystem  LAPTOP-S4JKFBQ4  Skype.exe                                               C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.65.78.0_x86__kzf8qxf38zg5c\Skype\Skype.exe                                                  14600   719                       11175312500     1380                   200                    Skype.exe                                               Win32_OperatingSystem  Microsoft Windows 10 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3  4626                 585934              5875882     71060          14428            77488              563535872        110944              10        72765440          14600      30                      761                  35                          825                      4098436             657571754          1                                   11           25188750000   534102016      10.0.19041      63283200        4095339              1113774053          																																																																					
